iter	Passed	Remaining
401	13846	37819
402	13882	37788
403	13914	37747
404	13946	37706
405	13977	37663
406	14011	37627
407	14041	37581
408	14070	37532
409	14100	37486
410	14155	37507
411	14187	37465
412	14225	37440
413	14255	37395
414	14287	37354
415	14318	37311
416	14350	37270
417	14382	37229
418	14415	37191
419	14449	37156
420	14480	37112
421	14512	37071
422	14546	37036
423	14577	36994
424	14611	36959
425	14643	36918
426	14675	36878
427	14708	36840
428	14742	36805
429	14773	36761
430	14803	36716
431	14834	36674
432	14864	36629
433	14899	36595
434	14932	36559
435	14968	36528
436	14999	36486
437	15037	36459
438	15074	36432
439	15105	36389
440	15135	36346
441	15167	36307
442	15199	36266
443	15234	36232
444	15266	36192
445	15306	36172
446	15336	36128
447	15367	36085
448	15399	36045
449	15431	36006
450	15463	35966
451	15494	35925
452	15527	35887
453	15559	35848
454	15599	35826
455	15632	35790
456	15665	35752
457	15695	35709
458	15738	35695
459	15783	35684
460	15815	35645
461	15848	35608
462	15877	35562
463	15908	35520
464	15938	35476
465	15969	35435
466	16004	35402
467	16036	35361
468	16068	35323
469	16103	35290
470	16139	35260
471	16173	35224
472	16205	35186
473	16238	35150
474	16271	35111
475	16302	35070
476	16335	35034
477	16366	34993
478	16397	34950
479	16429	34913
480	16462	34875
481	16497	34842
482	16531	34808
483	16565	34773
484	16598	34737
485	16630	34698
486	16677	34691
487	16709	34652
488	16742	34614
489	16776	34580
490	16808	34541
491	16845	34513
492	16884	34488
493	16922	34461
494	16961	34437
495	16998	34407
496	17037	34382
497	17073	34352
498	17110	34323
499	17145	34290
500	17184	34265
501	17222	34238
502	17255	34201
503	17289	34168
504	17322	34130
505	17354	34091
506	17385	34051
507	17422	34021
508	17475	34024
509	17518	34006
510	17551	33969
511	17584	33933
512	17618	33896
513	17649	33857
514	17683	33822
515	17716	33784
516	17747	33744
517	17781	33709
518	17813	33669
519	17844	33630
520	17875	33590
521	17910	33555
522	17942	33517
523	17981	33491
524	18020	33466
525	18053	33428
526	18087	33395
527	18122	33362
528	18156	33326
529	18190	33291
530	18220	33249
531	18252	33211
532	18286	33175
533	18318	33137
534	18351	33101
535	18384	33064
536	18420	33033
537	18452	32994
538	18483	32954
539	18513	32912
540	18545	32875
541	18578	32837
542	18609	32797
543	18641	32759
544	18677	32729
545	18710	32692
546	18743	32656
547	18775	32616
548	18806	32577
549	18838	32538
550	18872	32504
551	18911	32478
552	18943	32439
553	18976	32403
554	19010	32368
555	19039	32326
556	19072	32289
557	19104	32250
558	19135	32211
559	19167	32173
560	19198	32134
561	19234	32102
562	19266	32064
563	19299	32029
564	19331	31990
565	19363	31953
566	19396	31916
567	19430	31881
568	19465	31849
569	19498	31813
570	19528	31772
571	19561	31735
572	19602	31712
573	19632	31671
574	19681	31660
575	19719	31633
576	19750	31594
577	19780	31553
578	19816	31522
579	19858	31500
580	19891	31463
581	19923	31426
582	19956	31389
583	20017	31397
584	20048	31357
585	20083	31324
586	20119	31293
587	20154	31259
588	20188	31226
589	20228	31200
590	20268	31174
591	20313	31155
592	20348	31122
593	20380	31085
594	20412	31048
595	20447	31014
596	20483	30982
597	20516	30945
598	20547	30906
599	20582	30873
600	20613	30835
601	20644	30795
602	20677	30758
603	20713	30727
604	20747	30692
605	20777	30652
606	20810	30616
607	20842	30578
608	20873	30539
609	20907	30503
610	20939	30466
611	20972	30430
612	21003	30391
613	21033	30351
614	21063	30311
615	21096	30274
616	21126	30234
617	21159	30198
618	21190	30159
619	21223	30124
620	21255	30085
621	21287	30048
622	21320	30012
623	21352	29976
624	21385	29939
625	21417	29902
626	21449	29864
627	21480	29826
628	21511	29787
629	21544	29751
630	21577	29715
631	21610	29680
632	21643	29644
633	21675	29607
634	21708	29571
635	21740	29533
636	21773	29497
637	21804	29460
638	21835	29421
639	21867	29384
640	21900	29349
641	21932	29311
642	21966	29276
643	21999	29241
644	22031	29204
645	22062	29166
646	22095	29130
647	22126	29092
648	22157	29053
649	22191	29020
650	22229	28990
651	22275	28971
652	22311	28940
653	22350	28912
654	22383	28876
655	22414	28838
656	22452	28808
657	22485	28773
658	22515	28733
659	22550	28700
660	22591	28675
661	22632	28650
662	22665	28613
663	22697	28576
664	22731	28542
665	22762	28504
666	22795	28468
667	22826	28430
668	22860	28396
669	22894	28361
670	22926	28325
671	22959	28289
672	23006	28271
673	23038	28234
674	23070	28197
675	23107	28166
676	23138	28128
677	23171	28092
678	23202	28055
679	23235	28019
680	23281	27999
681	23311	27960
682	23343	27923
683	23375	27886
684	23405	27847
685	23447	27822
686	23484	27791
687	23517	27756
688	23549	27719
689	23586	27688
690	23617	27650
691	23652	27616
692	23687	27584
693	23718	27546
694	23749	27508
695	23787	27478
696	23826	27449
697	23875	27432
698	23911	27400
699	23945	27365
700	23977	27329
701	24013	27297
702	24044	27260
703	24076	27222
704	24105	27183
705	24137	27146
706	24169	27109
707	24205	27077
708	24237	27040
709	24269	27004
710	24302	26968
711	24351	26950
712	24383	26914
713	24416	26878
714	24450	26843
715	24487	26813
716	24518	26775
717	24554	26743
718	24586	26707
719	24617	26669
720	24669	26653
721	24706	26623
722	24738	26586
723	24771	26550
724	24807	26518
725	24838	26481
726	24876	26450
727	24910	26415
728	24941	26378
729	24974	26342
730	25006	26306
731	25037	26268
732	25069	26232
733	25105	26200
734	25137	26163
735	25167	26125
736	25197	26086
737	25229	26049
738	25259	26011
739	25295	25979
740	25329	25944
741	25362	25909
742	25394	25873
743	25428	25838
744	25459	25801
745	25488	25761
746	25519	25724
747	25553	25689
748	25585	25653
749	25617	25617
750	25648	25580
751	25679	25542
752	25710	25506
753	25743	25470
754	25775	25434
755	25807	25397
756	25837	25359
757	25875	25329
758	25910	25296
759	25941	25258
760	25972	25221
761	26003	25184
762	26035	25148
763	26068	25113
764	26099	25076
765	26132	25041
766	26164	25004
767	26196	24968
768	26245	24948
769	26276	24911
770	26307	24874
771	26340	24839
772	26371	24802
773	26404	24766
774	26435	24729
775	26467	24694
776	26500	24659
777	26536	24626
778	26570	24592
779	26603	24556
780	26635	24520
781	26667	24485
782	26700	24449
783	26730	24412
784	26762	24376
785	26794	24339
786	26826	24303
787	26856	24266
788	26888	24230
789	26922	24196
790	26955	24160
791	26988	24126
792	27022	24092
793	27057	24058
794	27089	24022
795	27123	23988
796	27154	23951
797	27185	23914
798	27216	23878
799	27248	23842
800	27282	23808
801	27314	23772
802	27346	23736
803	27377	23700
804	27409	23664
805	27442	23628
806	27473	23592
807	27505	23556
808	27537	23520
809	27570	23485
810	27602	23450
811	27638	23418
812	27675	23386
813	27719	23360
814	27750	23324
815	27783	23288
816	27815	23253
817	27850	23220
818	27895	23195
819	27927	23159
820	27970	23132
821	28002	23096
822	28050	23074
823	28083	23039
824	28115	23003
825	28147	22967
826	28191	22942
827	28247	22925
828	28281	22891
829	28326	22866
830	28359	22830
831	28392	22795
832	28440	22773
833	28473	22737
834	28506	22702
835	28537	22665
836	28577	22636
837	28625	22613
838	28656	22576
839	28690	22542
840	28720	22505
841	28752	22469
842	28799	22445
843	28829	22407
844	28862	22372
845	28892	22335
846	28925	22300
847	28974	22277
848	29007	22242
849	29038	22206
850	29070	22169
851	29106	22137
852	29140	22102
853	29169	22065
854	29204	22031
855	29236	21995
856	29269	21960
857	29299	21923
858	29332	21888
859	29369	21856
860	29403	21821
861	29433	21784
862	29464	21748
863	29494	21711
864	29528	21676
865	29574	21651
866	29607	21616
867	29654	21591
868	29685	21555
869	29736	21533
870	29769	21498
871	29802	21463
872	29833	21427
873	29876	21399
874	29908	21363
875	29938	21326
876	29968	21288
877	30001	21253
878	30032	21217
879	30065	21182
880	30107	21154
881	30137	21117
882	30184	21091
883	30214	21054
884	30246	21019
885	30277	20982
886	30309	20946
887	30339	20909
888	30368	20872
889	30398	20835
890	30432	20800
891	30464	20765
892	30494	20728
893	30524	20691
894	30556	20655
895	30587	20619
896	30618	20583
897	30649	20546
898	30681	20511
899	30718	20479
900	30750	20443
901	30784	20409
902	30816	20373
903	30858	20345
904	30892	20310
905	30922	20273
906	30951	20235
907	30979	20197
908	31009	20161
909	31036	20122
910	31076	20091
911	31106	20055
912	31135	20018
913	31169	19983
914	31199	19947
915	31228	19909
916	31268	19879
917	31299	19843
918	31335	19810
919	31367	19775
920	31401	19741
921	31433	19705
922	31466	19670
923	31499	19635
924	31530	19600
925	31564	19565
926	31603	19534
927	31638	19501
928	31669	19465
929	31700	19429
930	31732	19393
931	31764	19358
932	31797	19323
933	31834	19291
934	31865	19255
935	31901	19222
936	31935	19188
937	31967	19153
938	31999	19117
939	32044	19090
940	32078	19055
941	32123	19028
942	32161	18997
943	32194	18962
944	32224	18925
945	32257	18890
946	32302	18863
947	32334	18827
948	32381	18800
949	32413	18765
950	32458	18737
951	32486	18700
952	32515	18663
953	32547	18627
954	32589	18598
955	32623	18563
956	32662	18532
957	32707	18504
958	32739	18469
959	32771	18434
960	32802	18397
961	32829	18359
962	32860	18324
963	32888	18286
964	32918	18250
965	32964	18222
966	32993	18185
967	33022	18148
968	33052	18112
969	33084	18077
970	33113	18040
971	33143	18003
972	33172	17967
973	33202	17930
974	33232	17894
975	33265	17859
976	33293	17822
977	33323	17786
978	33354	17750
979	33382	17713
980	33414	17678
981	33454	17647
982	33485	17611
983	33515	17575
984	33544	17538
985	33576	17503
986	33616	17472
987	33646	17436
988	33680	17402
989	33708	17364
990	33737	17328
991	33765	17291
992	33795	17254
993	33823	17217
994	33851	17180
995	33882	17145
996	33911	17109
