iter	RMSE
0	3.016434708
1	2.974525308
2	2.930244288
3	2.889564762
4	2.853717093
5	2.816429912
6	2.782280194
7	2.750269449
8	2.718271268
9	2.688091907
10	2.665341405
11	2.637788856
12	2.611808257
13	2.584633584
14	2.55930918
15	2.537342009
16	2.515643153
17	2.494239146
18	2.47664318
19	2.456107125
20	2.436660314
21	2.418140985
22	2.400565862
23	2.384494586
24	2.368407394
25	2.352252235
26	2.337064018
27	2.32367187
28	2.312451772
29	2.299338669
30	2.289360872
31	2.27437655
32	2.268755013
33	2.258260607
34	2.245791407
35	2.236832314
36	2.229172408
37	2.21903265
38	2.211279133
39	2.203954432
40	2.194410125
41	2.186702584
42	2.177867674
43	2.168634705
44	2.158584687
45	2.152978474
46	2.147367196
47	2.138658047
48	2.132258936
49	2.126276533
50	2.120372617
51	2.114381961
52	2.105532424
53	2.100967476
54	2.096159264
55	2.089304855
56	2.084130222
57	2.075982776
58	2.071484798
59	2.067814997
60	2.064325282
61	2.060562373
62	2.057324111
63	2.052657395
64	2.049500747
65	2.043047318
66	2.040113712
67	2.036487858
68	2.033580336
69	2.03109437
70	2.028452287
71	2.024023048
72	2.019117463
73	2.0151214
74	2.009026878
75	2.005666857
76	2.002212798
77	1.999169325
78	1.995228515
79	1.991982687
80	1.989639167
81	1.987162416
82	1.983258574
83	1.980180766
84	1.975863811
85	1.973201506
86	1.972045896
87	1.968889115
88	1.966506489
89	1.964146868
90	1.961432826
91	1.958765258
92	1.954466718
93	1.9523195
94	1.949961017
95	1.948366439
96	1.944420993
97	1.940955562
98	1.939775768
99	1.937612858
100	1.933277914
101	1.930810308
102	1.928575352
103	1.924639393
104	1.920727933
105	1.91892767
106	1.915736211
107	1.913101392
108	1.910470563
109	1.90721689
110	1.904843385
111	1.90344707
112	1.901749236
113	1.898944866
114	1.897582739
115	1.896018996
116	1.895054557
117	1.892721311
118	1.890266512
119	1.888113558
120	1.885033651
121	1.883091642
122	1.879823194
123	1.878459911
124	1.876223455
125	1.874380312
126	1.873875116
127	1.872913386
128	1.872174952
129	1.870564865
130	1.86818926
131	1.864794755
132	1.861825499
133	1.860373221
134	1.859066883
135	1.858180138
136	1.855907718
137	1.85363487
138	1.850548062
139	1.850289108
140	1.847419878
141	1.846627749
142	1.845690218
143	1.844088189
144	1.8424521
145	1.841267193
146	1.839728794
147	1.837249606
148	1.836220844
149	1.833511988
150	1.83123011
151	1.828005622
152	1.826140237
153	1.825164698
154	1.824000652
155	1.823297279
156	1.821511902
157	1.81763398
158	1.815565317
159	1.81432316
160	1.813392807
161	1.812758259
162	1.811856164
163	1.810716226
164	1.808182872
165	1.806769728
166	1.804963406
167	1.802850039
168	1.800839701
169	1.799476657
170	1.798306109
171	1.797040298
172	1.795442554
173	1.79472255
174	1.793576217
175	1.791302103
176	1.78989836
177	1.788239796
178	1.785304927
179	1.782366517
180	1.782001555
181	1.781805308
182	1.780636893
183	1.779773915
184	1.777321459
185	1.775321158
186	1.771205632
187	1.770247498
188	1.768703672
189	1.768000647
190	1.766738094
191	1.764042406
192	1.762955335
193	1.759699824
194	1.755556028
195	1.752656744
196	1.75120481
197	1.750566007
198	1.749265148
199	1.746940762
200	1.744614086
201	1.742798763
202	1.740784033
203	1.73967519
204	1.738227035
205	1.735763615
206	1.734877495
207	1.733756784
208	1.732068699
209	1.729484483
210	1.726036041
211	1.722913711
212	1.720595447
213	1.719654206
214	1.717644584
215	1.716350354
216	1.712753533
217	1.711924077
218	1.71130618
219	1.709646884
220	1.708894563
221	1.707837733
222	1.706644089
223	1.704967755
224	1.703088647
225	1.700168909
226	1.698953834
227	1.697185239
228	1.694290627
229	1.693628917
230	1.69251064
231	1.690920984
232	1.688598189
233	1.687882543
234	1.686032965
235	1.684375586
236	1.682596755
237	1.681486401
238	1.679451275
239	1.677930556
240	1.677403986
241	1.676386221
242	1.675240171
243	1.674230393
244	1.673374568
245	1.672459458
246	1.669146683
247	1.666261273
248	1.663476489
249	1.662716643
250	1.661883473
251	1.660456111
252	1.65847529
253	1.657109758
254	1.655547339
255	1.651341314
256	1.647999799
257	1.646309013
258	1.643518249
259	1.643235183
260	1.64027707
261	1.638143856
262	1.637203662
263	1.636357499
264	1.635070181
265	1.633871304
266	1.631652094
267	1.630522065
268	1.629887088
